timestamp,experiment,tenant,noise_level,traffic_pattern,isolation_method,identity_mode,strategy,containers,failure_mode,p50_ms,p95_ms,p99_ms,jitter_ms,throughput_rps,tail_amplification,isolation_score
2026-03-22T10:24:19+05:30,exp_00026_nlow_pconstant_mnone_idip_c5_fchurn_it1,tenant1,low,constant,none,ip,none,5,churn,0.769,1.674,5.606,51.727,20.144,7.2900,3.6857
2026-03-22T12:38:50+05:30,exp_00102_nmedium_pdelayed_start_mtc_idip_c3_fspike_it1,tenant2,medium,delayed_start,tc,ip,none,3,spike,0.754,4.038,5.570,1.069,19.610,7.3873,4.5138
2026-03-22T12:44:03+05:30,exp_00109_nmedium_pdelayed_start_madaptive_idip_c3_fnone_it1,tenant2,medium,delayed_start,adaptive,ip,adaptive,3,none,0.742,2.158,5.549,1.051,22.178,7.4784,4.4968
2026-03-22T12:33:02+05:30,exp_00094_nmedium_pbursty_madaptive_idip_c3_fspike_it1,tenant2,medium,bursty,adaptive,ip,adaptive,3,spike,0.727,2.935,5.547,1.079,23.522,7.6300,4.4951
2026-03-22T10:18:51+05:30,exp_00022_nlow_pconstant_mnone_idip_c5_fspike_it2,tenant3,low,constant,none,ip,none,5,spike,0.706,1.590,5.527,0.834,20.533,7.8286,1.9285
2026-03-22T12:22:10+05:30,exp_00078_nmedium_pconstant_madaptive_idip_c3_fspike_it1,tenant2,medium,constant,adaptive,ip,adaptive,3,spike,0.759,4.262,5.497,1.258,19.160,7.2424,4.4546
2026-03-22T12:43:20+05:30,exp_00108_nmedium_pdelayed_start_mebpf_idcgroup_c3_fspike_it1,tenant2,medium,delayed_start,ebpf,ip,rate_limit,3,spike,0.742,4.214,5.491,1.188,20.071,7.4003,4.4498
2026-03-22T12:16:08+05:30,exp_00070_nmedium_pconstant_mtc_idip_c3_fspike_it1,tenant2,medium,constant,tc,ip,none,3,spike,0.737,4.005,5.482,1.205,19.462,7.4383,4.4425
2026-03-22T12:29:00+05:30,exp_00088_nmedium_pbursty_mtc_idcgroup_c3_fspike_it1,tenant2,medium,bursty,tc,ip,none,3,spike,0.706,2.877,5.421,0.936,24.211,7.6785,4.3930
2026-03-22T10:54:01+05:30,exp_00039_nlow_pconstant_mnone_idip_c10_fspike_it4,tenant8,low,constant,none,ip,none,10,spike,0.750,1.973,5.404,1.602,19.061,7.2053,4.1315
2026-03-22T12:17:37+05:30,exp_00072_nmedium_pconstant_mtc_idcgroup_c3_fspike_it1,tenant1,medium,constant,tc,ip,none,3,spike,0.734,3.889,5.382,1.107,20.430,7.3324,3.5385
