timestamp,experiment,noise_level,traffic_pattern,isolation_method,identity_mode,ebpf_enabled,strategy,hook_point,containers,iteration,failure_mode,tenant,tenant_cpu_quota_pct,tenant_memory_mb,tenant_cpuset,noisy_cpu_quota_pct,noisy_memory_mb,noisy_cpuset,host_reserved_cpus,host_mem_pressure_mb,io_read_bps,io_write_bps,requests,failures,p50_ms,p95_ms,p99_ms,p999_ms,p9999_ms,jitter_ms,variance_ms2,throughput_rps,packet_drops,tail_amplification,recovery_window_samples,degradation_window_samples,map_lookup_latency_us,kernel_ksoftirqd_latency_us,kernel_ebpf_prog_id,kernel_ebpf_prog_name,kernel_ebpf_prog_type,kernel_ebpf_prog_time_ns_per_run,cg_cpu_usage_usec,cg_cpu_throttled_usec,cg_memory_current_bytes,cg_memory_events_oom,cg_io_read_bytes,cg_io_write_bytes,control_plane_convergence_ms,isolation_score
2026-04-09T21:06:18+05:30,ohs_none_low_constant_none_20260409_210547,low,constant,none,ip,false,none,tc,3,1,none,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.770,1.528,8.824,26.091,26.091,1.997,3.990,21.007,0,11.4597,26,1,na,na,na,na,na,na,525023,0,9613312,0,0,4096,na,1.0000
2026-04-09T21:06:45+05:30,ohs_none_medium_bursty_spike_20260409_210547,medium,bursty,none,ip,false,none,tc,3,1,spike,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.701,1.174,33.586,102.290,102.290,8.408,70.689,26.582,0,47.9116,110,2,na,na,na,na,na,na,323123,0,9609216,0,0,4096,na,3.0373
2026-04-09T21:06:45+05:30,ohs_none_medium_bursty_spike_20260409_210547,medium,bursty,none,ip,false,none,tc,3,1,spike,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.815,1.831,10.770,68.136,68.136,4.913,24.139,19.276,0,13.2147,93,2,na,na,na,na,na,na,380091,0,9621504,0,0,4096,na,1.2205
2026-04-09T21:07:11+05:30,ohs_tc_high_intermittent_churn_20260409_210547,high,intermittent,tc,ip,false,none,tc,3,1,churn,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.863,5.677,24.114,187.431,187.431,14.364,206.312,16.503,0,27.9421,99,2,na,na,na,na,na,na,279684,0,9609216,0,0,4096,na,2.1807
2026-04-09T21:07:11+05:30,ohs_tc_high_intermittent_churn_20260409_210547,high,intermittent,tc,ip,false,none,tc,3,1,churn,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.724,1.128,2.247,4.540,4.540,0.347,0.120,29.005,0,3.1036,200,0,na,na,na,na,na,na,200321,0,9601024,0,0,4096,na,0.2546
2026-04-09T21:07:32+05:30,ohs_tc_medium_delayed_none_20260409_210547,medium,delayed_start,tc,ip,false,none,tc,3,1,none,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.654,0.955,4.817,63.560,63.560,5.489,30.128,31.231,0,7.3654,6,1,na,na,na,na,na,na,314207,0,9605120,0,0,4096,na,0.4356
2026-04-09T21:07:32+05:30,ohs_tc_medium_delayed_none_20260409_210547,medium,delayed_start,tc,ip,false,none,tc,3,1,none,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.681,1.719,3.712,54.972,54.972,3.903,15.231,28.276,0,5.4508,17,1,na,na,na,na,na,na,336161,0,9609216,0,0,4096,na,0.4207
2026-04-09T21:07:58+05:30,ohs_ebpf_dropper_high_bursty_spike_20260409_210547,high,bursty,ebpf,ip,true,dropper,tc,3,1,spike,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.671,7.253,81.819,93.570,93.570,14.480,209.683,27.684,0,,,,,,,,,,,,,,,,,7.3991
0,121.9359,49,2,na,na,na,na,na,na,285284,0,9617408,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:07:59+05:30,ohs_ebpf_dropper_high_bursty_spike_20260409_210547,high,bursty,ebpf,ip,true,dropper,tc,3,1,spike,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.744,5.249,82.257,252.020,252.020,19.667,386.788,18.622,0,,,,,,,,,,,,,,,,,9.3220
